position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,38,27,5,6,103,32,71,86
2,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,38,27,4,7,86,28,58,85
3,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,38,23,6,9,83,41,42,75
4,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,38,21,7,10,67,41,26,70
5,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,38,18,13,7,73,45,28,67
6,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,38,17,13,8,52,39,13,64
7,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,38,18,9,11,61,35,26,63
8,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,38,16,13,9,60,49,11,61
9,https://resources.premierleague.com/premierleague25/badges/41.svg,Birmingham City,38,13,11,14,38,47,-9,50
10,https://resources.premierleague.com/premierleague25/badges/5.svg,Blackburn Rovers,38,13,11,14,41,55,-14,50
11,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,38,11,14,13,34,48,-14,47
12,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,38,12,10,16,39,46,-7,46
13,https://resources.premierleague.com/premierleague25/badges/56.svg,Sunderland,38,11,11,16,48,56,-8,44
14,https://resources.premierleague.com/premierleague25/badges/30.svg,Bolton Wanderers,38,10,9,19,42,67,-25,39
15,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,38,9,11,18,32,56,-24,38
16,https://resources.premierleague.com/premierleague25/badges/111.svg,Wigan Athletic,38,9,9,20,37,79,-42,36
17,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,38,8,11,19,47,66,-19,35
18,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,38,8,6,24,42,82,-40,30
19,https://resources.premierleague.com/premierleague25/badges/88.svg,Hull City,38,6,12,20,34,75,-41,30
20,https://resources.premierleague.com/premierleague25/badges/47.svg,Portsmouth,38,7,7,24,34,66,-32,19
