name,url,season,stats
Arsenal,https://www.premierleague.com/en/clubs/3/arsenal/stats,2024/2025,"[{'Games Played': '38', 'Goals': '69', 'Goals Conceded': '34', 'XG': '61.59', 'Shots': '376', 'Shots On Target': '188', 'Shots On Target Inside the Box': '213', 'Shots On Target Outside the Box': '86', 'Touches in the Opposition Box': '1,379', 'Penalties Taken (Scored)': '2 (2)', 'Free Kicks Scored': '10', 'Hit Woodwork': '12', 'Crosses (Completed %)': '491 (20%)', 'Interceptions': '225', 'Blocks': '106', 'Clearances': '646', 'Passes': '18,619', 'Long Passes (Completed %)': '1,361 (46%)', 'Corners Taken': '251', 'Dribbles (Completed %)': '636 (50%)', 'Duels Won': '1,794', 'Aerial Duels Won': '481', 'Red Cards': '6', 'Yellow Cards': '64', 'Fouls': '401', 'Offsides': '80', 'Own Goals': '2'}]"
Aston Villa,https://www.premierleague.com/en/clubs/7/aston-villa/stats,2024/2025,"[{'Games Played': '38', 'Goals': '58', 'Goals Conceded': '51', 'XG': '57.31', 'Shots': '340', 'Shots On Target': '170', 'Shots On Target Inside the Box': '168', 'Shots On Target Outside the Box': '80', 'Touches in the Opposition Box': '1,014', 'Penalties Taken (Scored)': '6 (3)', 'Free Kicks Scored': '12', 'Hit Woodwork': '16', 'Crosses (Completed %)': '381 (19%)', 'Interceptions': '240', 'Blocks': '107', 'Clearances': '728', 'Penalties Saved (%)': '1 (33%)', 'Passes': '16,508', 'Long Passes (Completed %)': '1,436 (47%)', 'Corners Taken': '232', 'Dribbles (Completed %)': '627 (52%)', 'Duels Won': '1,841', 'Aerial Duels Won': '386', 'Red Cards': '4', 'Yellow Cards': '72', 'Fouls': '406', 'Offsides': '55', 'Own Goals': '2'}]"
Bournemouth,https://www.premierleague.com/en/clubs/91/bournemouth/stats,2024/2025,"[{'Games Played': '38', 'Goals': '58', 'Goals Conceded': '46', 'XG': '64.97', 'Shots': '404', 'Shots On Target': '202', 'Shots On Target Inside the Box': '196', 'Shots On Target Outside the Box': '110', 'Touches in the Opposition Box': '1,081', 'Penalties Taken (Scored)': '7 (6)', 'Free Kicks Scored (Scored)': '10 (1)', 'Hit Woodwork': '23', 'Crosses (Completed %)': '594 (23%)', 'Interceptions': '351', 'Blocks': '136', 'Clearances': '986', 'Passes': '15,154', 'Long Passes (Completed %)': '2,112 (42%)', 'Corners Taken': '229', 'Dribbles (Completed %)': '595 (49%)', 'Duels Won': '1,958', 'Aerial Duels Won': '581', 'Red Cards': '3', 'Yellow Cards': '97', 'Fouls': '525', 'Offsides': '70', 'Own Goals': '1'}]"
Brentford,https://www.premierleague.com/en/clubs/94/brentford/stats,2024/2025,"[{'Games Played': '38', 'Goals': '66', 'Goals Conceded': '57', 'XG': '60.19', 'Shots': '368', 'Shots On Target': '184', 'Shots On Target Inside the Box': '167', 'Shots On Target Outside the Box': '60', 'Touches in the Opposition Box': '1,032', 'Penalties Taken (Scored)': '6 (5)', 'Free Kicks Scored': '10', 'Hit Woodwork': '10', 'Crosses (Completed %)': '478 (24%)', 'Interceptions': '285', 'Blocks': '199', 'Clearances': '1,004', 'Passes': '15,632', 'Long Passes (Completed %)': '2,043 (47%)', 'Corners Taken': '175', 'Dribbles (Completed %)': '558 (47%)', 'Duels Won': '1,861', 'Aerial Duels Won': '632', 'Red Cards': '1', 'Yellow Cards': '62', 'Fouls': '320', 'Offsides': '63', 'Own Goals': '1'}]"
Brighton and Hove Albion,https://www.premierleague.com/en/clubs/36/brighton-and-hove-albion/stats,2024/2025,"[{'Games Played': '38', 'Goals': '66', 'Goals Conceded': '59', 'XG': '59.21', 'Shots': '382', 'Shots On Target': '191', 'Shots On Target Inside the Box': '170', 'Shots On Target Outside the Box': '109', 'Touches in the Opposition Box': '1,154', 'Penalties Taken (Scored)': '7 (7)', 'Free Kicks Scored (Scored)': '25 (2)', 'Hit Woodwork': '13', 'Crosses (Completed %)': '493 (23%)', 'Interceptions': '315', 'Blocks': '122', 'Clearances': '748', 'Passes': '17,704', 'Long Passes (Completed %)': '1,667 (48%)', 'Corners Taken': '189', 'Dribbles (Completed %)': '721 (47%)', 'Duels Won': '1,972', 'Aerial Duels Won': '527', 'Red Cards': '3', 'Yellow Cards': '76', 'Fouls': '438', 'Offsides': '46', 'Own Goals': '2'}]"
Chelsea,https://www.premierleague.com/en/clubs/8/chelsea/stats,2024/2025,"[{'Games Played': '38', 'Goals': '64', 'Goals Conceded': '43', 'XG': '69.19', 'Shots': '436', 'Shots On Target': '218', 'Shots On Target Inside the Box': '206', 'Shots On Target Outside the Box': '121', 'Touches in the Opposition Box': '1,196', 'Penalties Taken (Scored)': '5 (4)', 'Free Kicks Scored (Scored)': '17 (2)', 'Hit Woodwork': '21', 'Crosses (Completed %)': '463 (22%)', 'Interceptions': '272', 'Blocks': '103', 'Clearances': '654', 'Penalties Saved (%)': '1 (17%)', 'Passes': '19,796', 'Long Passes (Completed %)': '1,788 (46%)', 'Corners Taken': '236', 'Dribbles (Completed %)': '662 (49%)', 'Duels Won': '1,760', 'Aerial Duels Won': '409', 'Red Cards': '2', 'Yellow Cards': '99', 'Fouls': '436', 'Offsides': '65', 'Own Goals': '3'}]"
Crystal Palace,https://www.premierleague.com/en/clubs/31/crystal-palace/stats,2024/2025,"[{'Games Played': '38', 'Goals': '51', 'Goals Conceded': '51', 'XG': '61.35', 'Shots': '372', 'Shots On Target': '186', 'Shots On Target Inside the Box': '182', 'Shots On Target Outside the Box': '101', 'Touches in the Opposition Box': '838', 'Penalties Taken (Scored)': '4 (3)', 'Free Kicks Scored (Scored)': '19 (1)', 'Hit Woodwork': '13', 'Crosses (Completed %)': '423 (22%)', 'Interceptions': '334', 'Blocks': '144', 'Clearances': '1,041', 'Penalties Saved (%)': '1 (50%)', 'Passes': '14,340', 'Long Passes (Completed %)': '2,075 (38%)', 'Corners Taken': '172', 'Dribbles (Completed %)': '450 (46%)', 'Duels Won': '1,890', 'Aerial Duels Won': '521', 'Red Cards': '4', 'Yellow Cards': '74', 'Fouls': '417', 'Offsides': '74', 'Own Goals': '2'}]"
Everton,https://www.premierleague.com/en/clubs/11/everton/stats,2024/2025,"[{'Games Played': '38', 'Goals': '42', 'Goals Conceded': '44', 'XG': '42.38', 'Shots': '288', 'Shots On Target': '144', 'Shots On Target Inside the Box': '140', 'Shots On Target Outside the Box': '69', 'Touches in the Opposition Box': '775', 'Penalties Taken (Scored)': '2 (2)', 'Free Kicks Scored (Scored)': '11 (1)', 'Hit Woodwork': '10', 'Crosses (Completed %)': '485 (24%)', 'Interceptions': '345', 'Blocks': '138', 'Clearances': '1,051', 'Penalties Saved (%)': '2 (100%)', 'Passes': '13,351', 'Long Passes (Completed %)': '2,180 (46%)', 'Corners Taken': '156', 'Dribbles (Completed %)': '588 (48%)', 'Duels Won': '2,013', 'Aerial Duels Won': '627', 'Red Cards': '2', 'Yellow Cards': '80', 'Fouls': '430', 'Offsides': '81', 'Own Goals': '3'}]"
Fulham,https://www.premierleague.com/en/clubs/54/fulham/stats,2024/2025,"[{'Games Played': '38', 'Goals': '54', 'Goals Conceded': '54', 'XG': '49.88', 'Shots': '346', 'Shots On Target': '173', 'Shots On Target Inside the Box': '188', 'Shots On Target Outside the Box': '84', 'Touches in the Opposition Box': '988', 'Penalties Taken (Scored)': '4 (3)', 'Free Kicks Scored': '10', 'Hit Woodwork': '8', 'Crosses (Completed %)': '671 (24%)', 'Interceptions': '302', 'Blocks': '113', 'Clearances': '887', 'Penalties Saved (%)': '1 (25%)', 'Passes': '18,013', 'Long Passes (Completed %)': '1,889 (49%)', 'Corners Taken': '205', 'Dribbles (Completed %)': '542 (53%)', 'Duels Won': '1,859', 'Aerial Duels Won': '545', 'Red Cards': '2', 'Yellow Cards': '81', 'Fouls': '432', 'Offsides': '43', 'Own Goals': '1'}]"
Ipswich Town,https://www.premierleague.com/en/clubs/40/ipswich-town/stats,2024/2025,"[{'Games Played': '38', 'Goals': '36', 'Goals Conceded': '82', 'XG': '34.73', 'Shots': '254', 'Shots On Target': '127', 'Shots On Target Inside the Box': '121', 'Shots On Target Outside the Box': '82', 'Touches in the Opposition Box': '646', 'Penalties Taken (Scored)': '2 (2)', 'Free Kicks Scored': '10', 'Hit Woodwork': '9', 'Crosses (Completed %)': '337 (20%)', 'Interceptions': '303', 'Blocks': '185', 'Clearances': '1,069', 'Passes': '13,462', 'Long Passes (Completed %)': '1,737 (41%)', 'Corners Taken': '145', 'Dribbles (Completed %)': '567 (49%)', 'Duels Won': '1,822', 'Aerial Duels Won': '564', 'Red Cards': '5', 'Yellow Cards': '85', 'Fouls': '430', 'Offsides': '52', 'Own Goals': '1'}]"
