player_name,preferred_foot,date_of_birth,appearances_sub,goals,assists,xa,xg,touches_in_opposition_box,crosses_completed,pass_accuracy,long_pass_accuracy,minutes_played,dribbles_completed,duels_won,aerial_duels_won,total_tackles,interceptions,blocks,red_cards,yellow_cards,fouls,offsides,all_stats_on_page
Max Aarons,Right,04/01/2000,3 (2),0,0,0,0,0,0,51 (80%),5 (60%),85,4,0,0,2,1,1,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '04/01/2000', 'Appearances (Sub)': '3 (2)', 'XA': '0.02', 'Passes (Completed %)': '51 (80%)', 'Long Passes (Completed %)': '5 (60%)', 'Minutes Played': '85', 'Duels Won': '4', 'Total Tackles': '2', 'Interceptions': '1', 'Blocks': '1', 'Red Cards': '0', 'Yellow Cards': '0'}"
George Abbott,Right,17/08/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '17/08/2005'}"
Zach Abbott,Right,13/05/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '13/05/2006', 'Red Cards': '0', 'Yellow Cards': '0'}"
Josh Acheampong,Right,05/05/2006,4 (2),0,0,3,0.02,0,0,123 (84%),14 (29%),169,5,1,0,2,1,0,0,1,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '05/05/2006', 'Appearances (Sub)': '4 (2)', 'XG': '0.22', 'XA': '0.02', 'Touches in the Opposition Box': '3', 'Passes (Completed %)': '123 (84%)', 'Long Passes (Completed %)': '14 (29%)', 'Minutes Played': '169', 'Duels Won': '5', 'Aerial Duels Won': '1', 'Total Tackles': '2', 'Interceptions': '1', 'Red Cards': '0', 'Yellow Cards': '1'}"
Ché Adams,13/07/1996,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '13/07/1996'}"
Tyler Adams,Right,14/02/1999,28 (7),3,0,5,0.76,18,3 (33%),"1,056 (85%)",64 (30%),"1,965",14 (29%),139,31,83,32,10,0,7,45,0,"{'Nationality': 'United States', 'Preferred Foot': 'Right', 'Date of Birth': '14/02/1999', 'Appearances (Sub)': '28 (7)', 'Assists': '3', 'XG': '1.59', 'XA': '0.76', 'Shots On Target Inside the Box': '5', 'Touches in the Opposition Box': '18', 'Crosses (Completed %)': '3 (33%)', 'Passes (Completed %)': '1,056 (85%)', 'Long Passes (Completed %)': '64 (30%)', 'Minutes Played': '1,965', 'Dribbles (Completed %)': '14 (29%)', 'Duels Won': '139', 'Aerial Duels Won': '31', 'Total Tackles': '83', 'Interceptions': '32', 'Blocks': '10', 'Red Cards': '0', 'Yellow Cards': '7', 'Fouls': '45'}"
Tosin Adarabioyo,Right,24/09/1997,22 (7),1,1,0.22,0.93,5,14,"1,177 (91%)",90 (47%),"1,404",5 (80%),72,42,17,11,7,0,4,8,1,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '24/09/1997', 'Appearances (Sub)': '22 (7)', 'Goals': '1', 'Assists': '1', 'XG': '0.93', 'XA': '0.22', 'Shots On Target Inside the Box': '5', 'Touches in the Opposition Box': '14', 'Hit Woodwork': '2', 'Passes (Completed %)': '1,177 (91%)', 'Long Passes (Completed %)': '90 (47%)', 'Minutes Played': '1,404', 'Dribbles (Completed %)': '5 (80%)', 'Duels Won': '72', 'Aerial Duels Won': '42', 'Total Tackles': '17', 'Interceptions': '11', 'Blocks': '7', 'Red Cards': '0', 'Yellow Cards': '4', 'Fouls': '8', 'Offsides': '1'}"
Tayo Adaramola,Left,14/11/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Ireland', 'Preferred Foot': 'Left', 'Date of Birth': '14/11/2003'}"
Valintino Adedokun,14/02/2003,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Ireland', 'Date of Birth': '14/02/2003'}"
Simon Adingra,Right,01/01/2002,29 (17),2,2,2.79,2.46,13,7,332 (82%),12 (42%),"1,091",48 (44%),55,7,23,8,0,0,0,13,4,"{'Nationality': 'Cote d’Ivoire', 'Preferred Foot': 'Right', 'Date of Birth': '01/01/2002', 'Appearances (Sub)': '29 (17)', 'Goals': '2', 'Assists': '2', 'XG': '2.46', 'XA': '2.79', 'Shots On Target Inside the Box': '13', 'Shots On Target Outside the Box': '7', 'Touches in the Opposition Box': '79', 'Hit Woodwork': '1', 'Crosses (Completed %)': '41 (24%)', 'Passes (Completed %)': '332 (82%)', 'Long Passes (Completed %)': '12 (42%)', 'Corners Taken': '1', 'Minutes Played': '1,091', 'Dribbles (Completed %)': '48 (44%)', 'Duels Won': '55', 'Aerial Duels Won': '7', 'Total Tackles': '23', 'Interceptions': '8', 'Red Cards': '0', 'Yellow Cards': '0', 'Fouls': '13', 'Offsides': '4'}"
