player_name,preferred_foot,date_of_birth,appearances_sub,goals,assists,xa,xg,touches_in_opposition_box,crosses_completed,pass_accuracy,long_pass_accuracy,minutes_played,dribbles_completed,duels_won,aerial_duels_won,total_tackles,interceptions,blocks,red_cards,yellow_cards,fouls,offsides,all_stats_on_page
Archie Gray,Right,12/03/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '12/03/2006'}"
Jack Grealish,Right,10/09/1995,20 (13),1,1,1.69,1.13,7,3,412 (91%),12 (83%),715,22 (59%),48,1,9,2,2,0,3,5,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '10/09/1995', 'Appearances (Sub)': '20 (13)', 'Goals': '1', 'Assists': '1', 'XG': '1.13', 'XA': '1.69', 'Shots On Target Inside the Box': '7', 'Shots On Target Outside the Box': '3', 'Touches in the Opposition Box': '75', 'Crosses (Completed %)': '16 (19%)', 'Passes (Completed %)': '412 (91%)', 'Long Passes (Completed %)': '12 (83%)', 'Corners Taken': '9', 'Minutes Played': '715', 'Dribbles (Completed %)': '22 (59%)', 'Duels Won': '48', 'Aerial Duels Won': '1', 'Total Tackles': '9', 'Interceptions': '2', 'Blocks': '2', 'Red Cards': '0', 'Yellow Cards': '3', 'Fouls': '5'}"
Jacob Greaves,Left,12/09/2000,25,1,0,0.21,1.31,5,24,"1,095 (87%)",80 (30%),"2,205",5 (80%),148,85,40,21,26,0,5,16,1,"{'Nationality': 'England', 'Preferred Foot': 'Left', 'Date of Birth': '12/09/2000', 'Appearances': '25', 'Goals': '1', 'XG': '1.31', 'XA': '0.21', 'Shots On Target Inside the Box': '5', 'Touches in the Opposition Box': '24', 'Hit Woodwork': '1', 'Passes (Completed %)': '1,095 (87%)', 'Long Passes (Completed %)': '80 (30%)', 'Minutes Played': '2,205', 'Dribbles (Completed %)': '5 (80%)', 'Duels Won': '148', 'Aerial Duels Won': '85', 'Total Tackles': '40', 'Interceptions': '21', 'Blocks': '26', 'Red Cards': '0', 'Yellow Cards': '5', 'Fouls': '16', 'Offsides': '1'}"
Mason Greenwood,Both,01/10/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Both', 'Date of Birth': '01/10/2001'}"
Ben Greenwood,20/02/2003,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '20/02/2003'}"
Seán Grehan,Right,08/01/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Ireland', 'Preferred Foot': 'Right', 'Date of Birth': '08/01/2004'}"
Harvey Griffiths,Right,22/09/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '22/09/2003'}"
Pascal Groß,Right,15/06/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Germany', 'Preferred Foot': 'Right', 'Date of Birth': '15/06/1991'}"
Brajan Gruda,Left,31/05/2004,21 (13),1,4,1.93,1.21,3,51,212 (78%),13 (54%),681,25 (52%),44,3,16,2,0,0,0,7,1,"{'Nationality': 'Germany', 'Preferred Foot': 'Left', 'Date of Birth': '31/05/2004', 'Appearances (Sub)': '21 (13)', 'Goals': '1', 'Assists': '4', 'XG': '1.21', 'XA': '1.93', 'Shots On Target Outside the Box': '3', 'Touches in the Opposition Box': '51', 'Free Kicks Scored (Scored)': '2 (2)', 'Crosses (Completed %)': '7 (14%)', 'Passes (Completed %)': '212 (78%)', 'Long Passes (Completed %)': '13 (54%)', 'Corners Taken': '17', 'Minutes Played': '681', 'Dribbles (Completed %)': '25 (52%)', 'Duels Won': '44', 'Aerial Duels Won': '3', 'Total Tackles': '16', 'Interceptions': '2', 'Red Cards': '0', 'Yellow Cards': '0', 'Fouls': '7', 'Offsides': '1'}"
Albert Grønbæk,Both,23/05/2001,4 (2),0,0,2,0.01,0,0,17 (76%),0,143,7,2,0,4,1,0,0,0,0,0,"{'Nationality': 'Denmark', 'Preferred Foot': 'Both', 'Date of Birth': '23/05/2001', 'Appearances (Sub)': '4 (2)', 'XG': '0.12', 'XA': '0.01', 'Touches in the Opposition Box': '2', 'Passes (Completed %)': '17 (76%)', 'Minutes Played': '143', 'Duels Won': '7', 'Aerial Duels Won': '2', 'Total Tackles': '4', 'Blocks': '1', 'Red Cards': '0', 'Yellow Cards': '0'}"
Idrissa Gueye,Right,26/09/1989,37 (2),3,0,11,1.97,21,1,"1,401 (87%)",121 (64%),"3,067",37 (49%),221,25,133,48,9,0,9,55,0,"{'Nationality': 'Senegal', 'Preferred Foot': 'Right', 'Date of Birth': '26/09/1989', 'Appearances (Sub)': '37 (2)', 'Assists': '3', 'XG': '1.06', 'XA': '1.97', 'Shots On Target Outside the Box': '11', 'Touches in the Opposition Box': '21', 'Hit Woodwork': '1', 'Crosses (Completed %)': '7 (57%)', 'Passes (Completed %)': '1,401 (87%)', 'Long Passes (Completed %)': '121 (64%)', 'Minutes Played': '3,067', 'Dribbles (Completed %)': '37 (49%)', 'Duels Won': '221', 'Aerial Duels Won': '25', 'Total Tackles': '133', 'Interceptions': '48', 'Blocks': '9', 'Red Cards': '0', 'Yellow Cards': '9', 'Fouls': '55'}"
